"Statistic Label"                                      ,"Census Year" ,"Sex"        ,"Citizenship"                                                          ,"Administrative County"                 ,"UNIT"   ,"VALUE"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"United Kingdom of Great Britain and Northern Ireland (the)"           ,"Dublin City Council"                   ,"Number" ,"2839"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"United Kingdom of Great Britain and Northern Ireland (the)"           ,"Dún Laoghaire Rathdown County Council" ,"Number" ,"1585"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"United Kingdom of Great Britain and Northern Ireland (the)"           ,"Fingal County Council"                 ,"Number" ,"1654"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"United Kingdom of Great Britain and Northern Ireland (the)"           ,"South Dublin County Council"           ,"Number" ,"991"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"United Kingdom of Great Britain and Northern Ireland (the)"           ,"Kildare County Council"                ,"Number" ,"1403"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"United Kingdom of Great Britain and Northern Ireland (the)"           ,"Kilkenny County Council"               ,"Number" ,"774"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"United Kingdom of Great Britain and Northern Ireland (the)"           ,"Laois County Council"                  ,"Number" ,"519"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"United Kingdom of Great Britain and Northern Ireland (the)"           ,"Longford County Council"               ,"Number" ,"442"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"United Kingdom of Great Britain and Northern Ireland (the)"           ,"Louth County Council"                  ,"Number" ,"781"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"United Kingdom of Great Britain and Northern Ireland (the)"           ,"Meath County Council"                  ,"Number" ,"1233"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"United Kingdom of Great Britain and Northern Ireland (the)"           ,"Offaly County Council"                 ,"Number" ,"453"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"United Kingdom of Great Britain and Northern Ireland (the)"           ,"Westmeath County Council"              ,"Number" ,"633"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"United Kingdom of Great Britain and Northern Ireland (the)"           ,"Wexford County Council"                ,"Number" ,"1711"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"United Kingdom of Great Britain and Northern Ireland (the)"           ,"Wicklow County Council"                ,"Number" ,"1314"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"United Kingdom of Great Britain and Northern Ireland (the)"           ,"Clare County Council"                  ,"Number" ,"1174"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"United Kingdom of Great Britain and Northern Ireland (the)"           ,"Cork City Council"                     ,"Number" ,"972"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"United Kingdom of Great Britain and Northern Ireland (the)"           ,"Cork County Council"                   ,"Number" ,"3921"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"United Kingdom of Great Britain and Northern Ireland (the)"           ,"Kerry County Council"                  ,"Number" ,"1855"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"United Kingdom of Great Britain and Northern Ireland (the)"           ,"Limerick City & County Council"        ,"Number" ,"1142"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"United Kingdom of Great Britain and Northern Ireland (the)"           ,"Tipperary County Council"              ,"Number" ,"1447"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"United Kingdom of Great Britain and Northern Ireland (the)"           ,"Waterford City & County Council"       ,"Number" ,"1265"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"United Kingdom of Great Britain and Northern Ireland (the)"           ,"Galway City Council"                   ,"Number" ,"537"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"United Kingdom of Great Britain and Northern Ireland (the)"           ,"Galway County Council"                 ,"Number" ,"1701"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"United Kingdom of Great Britain and Northern Ireland (the)"           ,"Leitrim County Council"                ,"Number" ,"653"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"United Kingdom of Great Britain and Northern Ireland (the)"           ,"Mayo  County Council"                  ,"Number" ,"2001"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"United Kingdom of Great Britain and Northern Ireland (the)"           ,"Roscommon County Council"              ,"Number" ,"1137"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"United Kingdom of Great Britain and Northern Ireland (the)"           ,"Sligo County Council"                  ,"Number" ,"775"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"United Kingdom of Great Britain and Northern Ireland (the)"           ,"Cavan County Council"                  ,"Number" ,"719"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"United Kingdom of Great Britain and Northern Ireland (the)"           ,"Donegal County Council"                ,"Number" ,"2166"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"United Kingdom of Great Britain and Northern Ireland (the)"           ,"Monaghan County Council"               ,"Number" ,"370"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Georgia"                                                              ,"Ireland"                               ,"Number" ,"505"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Georgia"                                                              ,"Carlow County Council"                 ,"Number" ,"1"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Georgia"                                                              ,"Dublin City Council"                   ,"Number" ,"139"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Georgia"                                                              ,"Dún Laoghaire Rathdown County Council" ,"Number" ,"32"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Georgia"                                                              ,"Fingal County Council"                 ,"Number" ,"47"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Georgia"                                                              ,"South Dublin County Council"           ,"Number" ,"47"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Georgia"                                                              ,"Kildare County Council"                ,"Number" ,"15"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Georgia"                                                              ,"Kilkenny County Council"               ,"Number" ,"2"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Georgia"                                                              ,"Laois County Council"                  ,"Number" ,"3"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Georgia"                                                              ,"Longford County Council"               ,"Number" ,"2"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Georgia"                                                              ,"Louth County Council"                  ,"Number" ,"4"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Georgia"                                                              ,"Meath County Council"                  ,"Number" ,"22"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Georgia"                                                              ,"Offaly County Council"                 ,"Number" ,"7"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Georgia"                                                              ,"Westmeath County Council"              ,"Number" ,"15"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Georgia"                                                              ,"Wexford County Council"                ,"Number" ,"0"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Georgia"                                                              ,"Wicklow County Council"                ,"Number" ,"25"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Georgia"                                                              ,"Clare County Council"                  ,"Number" ,"16"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Georgia"                                                              ,"Cork City Council"                     ,"Number" ,"29"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Georgia"                                                              ,"Cork County Council"                   ,"Number" ,"17"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Georgia"                                                              ,"Kerry County Council"                  ,"Number" ,"14"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Georgia"                                                              ,"Limerick City & County Council"        ,"Number" ,"6"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Georgia"                                                              ,"Tipperary County Council"              ,"Number" ,"7"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Georgia"                                                              ,"Waterford City & County Council"       ,"Number" ,"6"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Georgia"                                                              ,"Galway City Council"                   ,"Number" ,"21"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Georgia"                                                              ,"Galway County Council"                 ,"Number" ,"3"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Georgia"                                                              ,"Leitrim County Council"                ,"Number" ,"0"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Georgia"                                                              ,"Mayo  County Council"                  ,"Number" ,"5"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Georgia"                                                              ,"Roscommon County Council"              ,"Number" ,"0"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Georgia"                                                              ,"Sligo County Council"                  ,"Number" ,"0"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Georgia"                                                              ,"Cavan County Council"                  ,"Number" ,"3"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Georgia"                                                              ,"Donegal County Council"                ,"Number" ,"7"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Georgia"                                                              ,"Monaghan County Council"               ,"Number" ,"10"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Ghana"                                                                ,"Ireland"                               ,"Number" ,"278"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Ghana"                                                                ,"Carlow County Council"                 ,"Number" ,"3"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Ghana"                                                                ,"Dublin City Council"                   ,"Number" ,"24"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Ghana"                                                                ,"Dún Laoghaire Rathdown County Council" ,"Number" ,"13"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Ghana"                                                                ,"Fingal County Council"                 ,"Number" ,"27"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Ghana"                                                                ,"South Dublin County Council"           ,"Number" ,"32"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Ghana"                                                                ,"Kildare County Council"                ,"Number" ,"15"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Ghana"                                                                ,"Kilkenny County Council"               ,"Number" ,"2"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Ghana"                                                                ,"Laois County Council"                  ,"Number" ,"3"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Ghana"                                                                ,"Longford County Council"               ,"Number" ,"17"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Ghana"                                                                ,"Louth County Council"                  ,"Number" ,"12"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Ghana"                                                                ,"Meath County Council"                  ,"Number" ,"7"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Ghana"                                                                ,"Offaly County Council"                 ,"Number" ,"4"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Ghana"                                                                ,"Westmeath County Council"              ,"Number" ,"4"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Ghana"                                                                ,"Wexford County Council"                ,"Number" ,"3"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Ghana"                                                                ,"Wicklow County Council"                ,"Number" ,"5"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Ghana"                                                                ,"Clare County Council"                  ,"Number" ,"12"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Ghana"                                                                ,"Cork City Council"                     ,"Number" ,"9"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Ghana"                                                                ,"Cork County Council"                   ,"Number" ,"20"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Ghana"                                                                ,"Kerry County Council"                  ,"Number" ,"10"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Ghana"                                                                ,"Limerick City & County Council"        ,"Number" ,"18"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Ghana"                                                                ,"Tipperary County Council"              ,"Number" ,"1"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Ghana"                                                                ,"Waterford City & County Council"       ,"Number" ,"5"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Ghana"                                                                ,"Galway City Council"                   ,"Number" ,"7"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Ghana"                                                                ,"Galway County Council"                 ,"Number" ,"2"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Ghana"                                                                ,"Leitrim County Council"                ,"Number" ,"0"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Ghana"                                                                ,"Mayo  County Council"                  ,"Number" ,"4"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Ghana"                                                                ,"Roscommon County Council"              ,"Number" ,"6"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Ghana"                                                                ,"Sligo County Council"                  ,"Number" ,"3"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Ghana"                                                                ,"Cavan County Council"                  ,"Number" ,"1"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Ghana"                                                                ,"Donegal County Council"                ,"Number" ,"5"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Ghana"                                                                ,"Monaghan County Council"               ,"Number" ,"4"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Greece"                                                               ,"Ireland"                               ,"Number" ,"939"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Greece"                                                               ,"Carlow County Council"                 ,"Number" ,"6"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Greece"                                                               ,"Dublin City Council"                   ,"Number" ,"295"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Greece"                                                               ,"Dún Laoghaire Rathdown County Council" ,"Number" ,"101"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Greece"                                                               ,"Fingal County Council"                 ,"Number" ,"86"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Greece"                                                               ,"South Dublin County Council"           ,"Number" ,"38"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Greece"                                                               ,"Kildare County Council"                ,"Number" ,"46"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Greece"                                                               ,"Kilkenny County Council"               ,"Number" ,"8"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Greece"                                                               ,"Laois County Council"                  ,"Number" ,"3"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Greece"                                                               ,"Longford County Council"               ,"Number" ,"2"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Greece"                                                               ,"Louth County Council"                  ,"Number" ,"34"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Greece"                                                               ,"Meath County Council"                  ,"Number" ,"39"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Greece"                                                               ,"Offaly County Council"                 ,"Number" ,"4"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Greece"                                                               ,"Westmeath County Council"              ,"Number" ,"4"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Greece"                                                               ,"Wexford County Council"                ,"Number" ,"11"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Greece"                                                               ,"Wicklow County Council"                ,"Number" ,"27"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Greece"                                                               ,"Clare County Council"                  ,"Number" ,"9"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Greece"                                                               ,"Cork City Council"                     ,"Number" ,"72"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Greece"                                                               ,"Cork County Council"                   ,"Number" ,"24"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Greece"                                                               ,"Kerry County Council"                  ,"Number" ,"19"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Greece"                                                               ,"Limerick City & County Council"        ,"Number" ,"26"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Greece"                                                               ,"Tipperary County Council"              ,"Number" ,"7"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Greece"                                                               ,"Waterford City & County Council"       ,"Number" ,"8"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Greece"                                                               ,"Galway City Council"                   ,"Number" ,"26"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Greece"                                                               ,"Galway County Council"                 ,"Number" ,"8"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Greece"                                                               ,"Leitrim County Council"                ,"Number" ,"4"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Greece"                                                               ,"Mayo  County Council"                  ,"Number" ,"10"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Greece"                                                               ,"Roscommon County Council"              ,"Number" ,"3"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Greece"                                                               ,"Sligo County Council"                  ,"Number" ,"10"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Greece"                                                               ,"Cavan County Council"                  ,"Number" ,"5"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Greece"                                                               ,"Donegal County Council"                ,"Number" ,"4"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Greece"                                                               ,"Monaghan County Council"               ,"Number" ,"0"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Croatia"                                                              ,"Ireland"                               ,"Number" ,"6170"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Croatia"                                                              ,"Carlow County Council"                 ,"Number" ,"40"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Croatia"                                                              ,"Dublin City Council"                   ,"Number" ,"1077"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Croatia"                                                              ,"Dún Laoghaire Rathdown County Council" ,"Number" ,"229"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Croatia"                                                              ,"Fingal County Council"                 ,"Number" ,"570"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Croatia"                                                              ,"South Dublin County Council"           ,"Number" ,"356"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Croatia"                                                              ,"Kildare County Council"                ,"Number" ,"310"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Croatia"                                                              ,"Kilkenny County Council"               ,"Number" ,"175"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Croatia"                                                              ,"Laois County Council"                  ,"Number" ,"61"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Croatia"                                                              ,"Longford County Council"               ,"Number" ,"31"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Croatia"                                                              ,"Louth County Council"                  ,"Number" ,"332"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Croatia"                                                              ,"Meath County Council"                  ,"Number" ,"255"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Croatia"                                                              ,"Offaly County Council"                 ,"Number" ,"51"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Croatia"                                                              ,"Westmeath County Council"              ,"Number" ,"109"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Croatia"                                                              ,"Wexford County Council"                ,"Number" ,"124"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Croatia"                                                              ,"Wicklow County Council"                ,"Number" ,"109"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Croatia"                                                              ,"Clare County Council"                  ,"Number" ,"37"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Croatia"                                                              ,"Cork City Council"                     ,"Number" ,"518"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Croatia"                                                              ,"Cork County Council"                   ,"Number" ,"337"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Croatia"                                                              ,"Kerry County Council"                  ,"Number" ,"231"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Croatia"                                                              ,"Limerick City & County Council"        ,"Number" ,"157"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Croatia"                                                              ,"Tipperary County Council"              ,"Number" ,"60"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Croatia"                                                              ,"Waterford City & County Council"       ,"Number" ,"294"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Croatia"                                                              ,"Galway City Council"                   ,"Number" ,"199"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Croatia"                                                              ,"Galway County Council"                 ,"Number" ,"92"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Croatia"                                                              ,"Leitrim County Council"                ,"Number" ,"11"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Croatia"                                                              ,"Mayo  County Council"                  ,"Number" ,"106"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Croatia"                                                              ,"Roscommon County Council"              ,"Number" ,"69"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Croatia"                                                              ,"Sligo County Council"                  ,"Number" ,"11"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Croatia"                                                              ,"Cavan County Council"                  ,"Number" ,"69"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Croatia"                                                              ,"Donegal County Council"                ,"Number" ,"97"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Croatia"                                                              ,"Monaghan County Council"               ,"Number" ,"53"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Hungary"                                                              ,"Ireland"                               ,"Number" ,"4317"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Hungary"                                                              ,"Carlow County Council"                 ,"Number" ,"36"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Hungary"                                                              ,"Dublin City Council"                   ,"Number" ,"648"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Hungary"                                                              ,"Dún Laoghaire Rathdown County Council" ,"Number" ,"204"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Hungary"                                                              ,"Fingal County Council"                 ,"Number" ,"375"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Hungary"                                                              ,"South Dublin County Council"           ,"Number" ,"185"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Hungary"                                                              ,"Kildare County Council"                ,"Number" ,"177"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Hungary"                                                              ,"Kilkenny County Council"               ,"Number" ,"61"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Hungary"                                                              ,"Laois County Council"                  ,"Number" ,"57"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Hungary"                                                              ,"Longford County Council"               ,"Number" ,"39"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Hungary"                                                              ,"Louth County Council"                  ,"Number" ,"78"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Hungary"                                                              ,"Meath County Council"                  ,"Number" ,"150"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Hungary"                                                              ,"Offaly County Council"                 ,"Number" ,"83"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Hungary"                                                              ,"Westmeath County Council"              ,"Number" ,"52"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Hungary"                                                              ,"Wexford County Council"                ,"Number" ,"150"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Hungary"                                                              ,"Wicklow County Council"                ,"Number" ,"121"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Hungary"                                                              ,"Clare County Council"                  ,"Number" ,"69"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Hungary"                                                              ,"Cork City Council"                     ,"Number" ,"269"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Hungary"                                                              ,"Cork County Council"                   ,"Number" ,"493"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Hungary"                                                              ,"Kerry County Council"                  ,"Number" ,"92"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Hungary"                                                              ,"Limerick City & County Council"        ,"Number" ,"131"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Hungary"                                                              ,"Tipperary County Council"              ,"Number" ,"155"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Hungary"                                                              ,"Waterford City & County Council"       ,"Number" ,"132"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Hungary"                                                              ,"Galway City Council"                   ,"Number" ,"98"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Hungary"                                                              ,"Galway County Council"                 ,"Number" ,"155"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Hungary"                                                              ,"Leitrim County Council"                ,"Number" ,"19"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Hungary"                                                              ,"Mayo  County Council"                  ,"Number" ,"87"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Hungary"                                                              ,"Roscommon County Council"              ,"Number" ,"33"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Hungary"                                                              ,"Sligo County Council"                  ,"Number" ,"44"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Hungary"                                                              ,"Cavan County Council"                  ,"Number" ,"33"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Hungary"                                                              ,"Donegal County Council"                ,"Number" ,"77"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Hungary"                                                              ,"Monaghan County Council"               ,"Number" ,"14"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Israel"                                                               ,"Ireland"                               ,"Number" ,"285"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Israel"                                                               ,"Carlow County Council"                 ,"Number" ,"1"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Israel"                                                               ,"Dublin City Council"                   ,"Number" ,"102"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Israel"                                                               ,"Dún Laoghaire Rathdown County Council" ,"Number" ,"45"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Israel"                                                               ,"Fingal County Council"                 ,"Number" ,"17"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Israel"                                                               ,"South Dublin County Council"           ,"Number" ,"21"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Israel"                                                               ,"Kildare County Council"                ,"Number" ,"20"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Israel"                                                               ,"Kilkenny County Council"               ,"Number" ,"2"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Israel"                                                               ,"Laois County Council"                  ,"Number" ,"2"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Israel"                                                               ,"Longford County Council"               ,"Number" ,"0"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Israel"                                                               ,"Louth County Council"                  ,"Number" ,"2"
